127.0.0.1 - - [02/Apr/2020:09:33:37 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:38 +0900] "GET /cris/ HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:40 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:41 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1585787621227 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:41 +0900] "GET /cris/mng/pop/mainPopList.do?_=1585787621228 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:41 +0900] "GET /cris/echo-ws/info?t=1585787621562 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:33:41 +0900] "GET /cris/echo-ws/387/45it5bdx/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/jquery.easing.min.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/html5shiv.min.js HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/commonPop.js HTTP/1.1" 200 3637
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/visual.js HTTP/1.1" 200 10672
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/paging/jquery.paging.js HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/jquery.popupoverlay.js HTTP/1.1" 200 30463
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/paging/jquery.paging.min.js HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/dtree.js HTTP/1.1" 200 13449
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/js/jquery.treeview.js HTTP/1.1" 200 8212
0:0:0:0:0:0:0:1 - - [02/Apr/2020:09:34:43 +0900] "GET /cris/resources/css/ncmik/jquery-ui.css HTTP/1.1" 200 35619
