127.0.0.1 - - [27/Mar/2020:09:31:51 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:51 +0900] "GET /cris/ HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:53 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:54 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1585269113935 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:54 +0900] "GET /cris/mng/pop/mainPopList.do?_=1585269113936 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:54 +0900] "GET /cris/echo-ws/info?t=1585269114151 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:31:54 +0900] "GET /cris/echo-ws/039/lgpncbii/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:52 +0900] "GET /cris/index/index.do HTTP/1.1" 200 22008
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:53 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Findex%2Findex.do&_=1585269833527 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:53 +0900] "GET /cris/mng/pop/mainPopList.do?_=1585269833528 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:53 +0900] "GET /cris/echo-ws/info?t=1585269833687 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:53 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:53 +0900] "GET /cris/echo-ws/274/zdsqbvxg/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:55 +0900] "GET /cris/board/myClinicalResearch/myClRsrch.do HTTP/1.1" 200 38369
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:55 +0900] "GET /cris/resources/css/myCR/my_cr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:56 +0900] "GET /cris/index/auth/readMenuAuth.do?menu_url=%2Fboard%2FmyClinicalResearch%2FmyClRsrch.do&_=1585269835613 HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:43:56 +0900] "POST /cris/board/myClinicalResearch/registration_mng.do HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:44:13 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:44:13 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:55:25 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:55:25 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:55:25 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:56:32 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:56:33 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:04:20 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:04:20 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:04:20 +0900] "POST /cris/board/myClinicalResearch/regSubData.do HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:05:57 +0900] "POST /cris/board/myClinicalResearch/regSubView.do HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [27/Mar/2020:10:05:57 +0900] "GET /favicon.ico HTTP/1.1" 404 973
